iter	Passed	Remaining
652	18220	9682
653	18234	9647
654	18248	9611
655	18265	9578
656	18290	9549
657	18317	9520
658	18333	9486
659	18364	9460
660	18395	9434
661	18430	9409
662	18450	9378
663	18473	9348
664	18490	9314
665	18505	9280
666	18537	9254
667	18553	9221
668	18577	9191
669	18603	9162
670	18627	9133
671	18649	9102
672	18675	9073
673	18689	9039
674	18701	9004
675	18718	8971
676	18732	8937
677	18746	8903
678	18759	8868
679	18773	8834
680	18799	8806
681	18818	8774
682	18838	8743
683	18853	8710
684	18868	8676
685	18878	8641
686	18897	8609
687	18918	8579
688	18951	8554
689	18979	8526
690	18999	8496
691	19018	8464
692	19038	8434
693	19056	8402
694	19074	8370
695	19108	8346
696	19140	8320
697	19154	8287
698	19170	8254
699	19188	8223
700	19204	8191
701	19222	8159
702	19256	8135
703	19276	8104
704	19301	8076
705	19326	8047
706	19344	8016
707	19360	7984
708	19372	7951
709	19400	7924
710	19409	7889
711	19423	7856
712	19441	7825
713	19455	7793
714	19472	7761
715	19488	7730
716	19505	7698
717	19518	7666
718	19539	7636
719	19557	7605
720	19575	7574
721	19592	7543
722	19613	7514
723	19630	7483
724	19653	7454
725	19669	7423
726	19689	7393
727	19711	7364
728	19724	7332
729	19749	7304
730	19794	7284
731	19813	7254
732	19828	7222
733	19843	7191
734	19857	7159
735	19880	7130
736	19894	7099
737	19910	7068
738	19929	7038
739	19950	7009
740	19971	6980
741	19985	6949
742	20002	6918
743	20015	6887
744	20031	6856
745	20047	6825
746	20067	6796
747	20089	6767
748	20104	6737
749	20121	6707
750	20139	6677
751	20164	6650
752	20182	6620
753	20202	6591
754	20219	6561
755	20238	6531
756	20262	6504
757	20285	6476
758	20302	6446
759	20335	6421
760	20364	6395
761	20396	6370
762	20421	6343
763	20439	6313
764	20452	6282
765	20466	6252
766	20486	6223
767	20499	6192
768	20515	6162
769	20529	6132
770	20543	6101
771	20560	6072
772	20575	6042
773	20588	6011
774	20602	5981
775	20617	5951
776	20632	5921
777	20644	5890
778	20676	5865
779	20690	5835
780	20707	5806
781	20726	5777
782	20745	5749
783	20762	5720
784	20779	5691
785	20794	5661
786	20805	5630
787	20822	5601
788	20844	5574
789	20871	5548
790	20890	5519
791	20919	5494
792	20938	5465
793	20972	5441
794	21003	5415
795	21018	5386
796	21039	5358
797	21055	5329
798	21088	5305
799	21115	5278
800	21131	5249
801	21153	5222
802	21166	5192
803	21178	5162
804	21195	5134
805	21214	5106
806	21229	5077
807	21250	5049
808	21267	5021
809	21280	4991
810	21294	4962
811	21308	4933
812	21325	4905
813	21339	4876
814	21357	4848
815	21371	4819
816	21386	4790
817	21408	4763
818	21422	4734
819	21441	4706
820	21454	4677
821	21478	4651
822	21495	4622
823	21525	4597
824	21545	4570
825	21561	4542
826	21576	4513
827	21593	4485
828	21604	4456
829	21619	4428
830	21641	4401
831	21655	4372
832	21686	4347
833	21701	4319
834	21721	4292
835	21737	4264
836	21773	4240
837	21792	4212
838	21807	4184
839	21843	4160
840	21861	4133
841	21872	4104
842	21893	4077
843	21907	4049
844	21920	4020
845	21932	3992
846	21946	3964
847	21964	3937
848	21981	3909
849	22003	3883
850	22022	3855
851	22038	3828
852	22056	3801
853	22120	3781
854	22150	3756
855	22185	3732
856	22201	3704
857	22232	3679
858	22257	3653
859	22279	3626
860	22305	3601
861	22342	3576
862	22369	3551
863	22396	3525
864	22420	3499
865	22440	3472
866	22456	3444
867	22472	3417
868	22487	3389
869	22501	3362
870	22515	3334
871	22543	3309
872	22624	3291
873	22833	3291
874	23010	3287
875	23247	3290
876	23474	3292
877	23661	3287
878	23871	3286
879	24091	3285
880	24302	3282
881	24526	3281
882	24792	3285
883	25047	3286
884	25355	3294
885	25598	3293
886	25894	3298
887	26169	3300
888	26444	3301
889	26816	3314
890	27061	3310
891	27319	3307
892	27539	3299
893	27763	3291
894	28023	3287
895	28280	3282
896	28571	3280
897	28764	3267
898	28999	3257
899	29257	3250
900	29512	3242
901	29817	3239
902	29919	3213
903	29949	3180
904	29981	3147
905	30000	3112
906	30021	3078
907	30041	3043
908	30076	3010
909	30135	2980
910	30151	2945
911	30169	2911
912	30183	2876
913	30205	2842
914	30223	2807
915	30273	2776
916	30293	2741
917	30308	2707
918	30319	2672
919	30356	2639
920	30387	2606
921	30420	2573
922	30442	2539
923	30464	2505
924	30482	2471
925	30503	2437
926	30521	2403
927	30540	2369
928	30557	2335
929	30581	2301
930	30601	2268
931	30615	2233
932	30632	2199
933	30648	2165
934	30674	2132
935	30694	2098
936	30721	2065
937	30744	2032
938	30766	1998
939	30795	1965
940	30815	1932
941	30844	1899
942	30871	1866
943	30888	1832
944	30904	1798
945	30926	1765
946	30953	1732
947	30981	1699
948	31000	1666
949	31013	1632
950	31026	1598
951	31043	1565
952	31065	1532
953	31081	1498
954	31100	1465
955	31122	1432
956	31137	1399
957	31154	1365
958	31173	1332
959	31189	1299
960	31214	1266
961	31236	1233
962	31253	1200
963	31273	1167
964	31288	1134
965	31303	1101
966	31321	1068
967	31340	1036
968	31360	1003
969	31376	970
970	31390	937
971	31402	904
972	31414	871
973	31428	838
974	31445	806
975	31460	773
976	31473	740
977	31485	708
978	31503	675
979	31518	643
980	31534	610
981	31552	578
982	31563	545
983	31574	513
984	31587	481
985	31601	448
986	31610	416
987	31622	384
988	31642	351
989	31657	319
990	31671	287
991	31684	255
992	31698	223
993	31715	191
994	31732	159
995	31752	127
996	31772	95
997	31786	63
998	31798	31
999	31817	0
